tx_brate downlink (kbps),tx_pkts downlink,rx_brate uplink (kbps),rx_pkts uplink,slice_target
56.800000000000004,41.0,0.0,0.0,3
28.048199999999998,21.0,0.0,0.0,3
37.7831,43.0,0.0,0.0,3
57.51,55.0,0.0,0.0,3
31.485899999999997,27.0,0.0,0.0,3
21.1727,7.0,0.0,0.0,3
32.4177,29.0,0.0,0.0,3
40.6747,41.0,0.0,0.0,3
23.4859,23.0,0.0,0.0,3
44.4016,31.0,0.0,0.0,3
53.983999999999995,31.0,0.0,0.0,3
42.506,54.0,0.0,0.0,3
57.8313,54.0,0.0,0.0,3
41.088,44.0,0.0,0.0,3
41.664,48.0,0.0,0.0,3
39.518100000000004,32.0,0.0,0.0,3
23.1968,20.0,0.0,0.0,3
30.2651,29.0,0.0,0.0,3
38.784,28.0,0.0,0.0,3
26.570300000000003,9.0,0.0,0.0,3
42.6667,16.0,0.0,0.0,3
